link,name,actual_price,averageRating,fiveStarRatingCount,fourStarRatingCount,threeStarRatingCount,twoStarRatingCount,oneStarRatingCount,uniqId
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",f0736911-ae6c-50a4-b40c-f000deb636be
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,7df5e905-b9c4-5d4a-9723-eab3e266cc95
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",b7a7ec61-7aef-5a8c-b5c9-6680d2478437
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",9f6920c0-1437-5b5b-bcb2-7842e79c9b2c
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,de564539-9daf-5796-9f29-c5acdffa7983
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",b7a7ec61-7aef-5a8c-b5c9-6680d2478437
https://www.flipkart.com/portronics-laptop-cooling-stand-wood-portable-table/p/itmf2bue6z87augn,Portronics Laptop Cooling Stand Wood Portable Laptop Table,"₹2,505",4.4,"14,513","7,085","1,859",464,695,b4909bb8-ad4d-579a-a00b-f947d8c66b58
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",55496143-facd-55a5-94e5-37759b349a48
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",a3a18211-8d08-58c4-9cb2-a448f0ee6307
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",acefa9a7-f415-55c7-b65d-5be2e919c8d9
https://www.flipkart.com/apple-iphone-xr-blue-64-gb-includes-earpods-power-adapter/p/itmf9z7z4dgvug4h,"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","₹39,999",4.6,"75,685","15,898","3,418","1,151","3,337",42297563-fe11-500c-b81f-4bafdde4825a
https://www.flipkart.com/boya-by-m1-3-5mm-electret-condenser-microphone-1-4-adapter-smartphones-dslr-camcorders/p/itmesee4czpnpkz8,"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",₹699,4.1,"33,769","13,874","5,869","2,176","5,290",e9444036-ee91-5e2c-9420-dea4dcc9342c
https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-95-mb-s-memory-card/p/itm466d58b7a666b,SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,₹639,4.3,"43,288","19,580","5,739","1,521","3,054",9911475f-5fcb-56af-91ef-80206c955899
https://www.flipkart.com/whirlpool-200-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmb4b8fcf1cf1cd,Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",4.4,"1,216",523,106,34,77,482c7b0c-8e6d-5b76-93d1-f3208abb5621
https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-95-mb-s-memory-card/p/itm466d58b7a666b,SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,₹639,4.3,"43,288","19,580","5,739","1,521","3,054",5a263c28-bbd4-5d25-81b4-62b56c861450
https://www.flipkart.com/whirlpool-200-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmb4b8fcf1cf1cd,Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",4.4,"1,216",523,106,34,77,d16520e1-e596-5e0b-b89f-b287ae3f8af7
https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-95-mb-s-memory-card/p/itm466d58b7a666b,SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,₹639,4.3,"43,288","19,580","5,739","1,521","3,054",661f8e44-881f-5d1e-ab9c-ab1d0fbbf4e0
https://www.flipkart.com/whirlpool-200-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmb4b8fcf1cf1cd,Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",4.4,"1,216",523,106,34,77,bd36bdbf-fe57-5879-a3fd-922003452a75
https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-95-mb-s-memory-card/p/itm466d58b7a666b,SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,₹639,4.3,"43,288","19,580","5,739","1,521","3,054",e4eb9a41-8406-5bc4-809c-145d553905b3
https://www.flipkart.com/whirlpool-200-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itmb4b8fcf1cf1cd,Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",4.4,"1,216",523,106,34,77,08f77dfe-c2e3-5c9f-b1ba-92e3ef944b14
https://www.flipkart.com/samsung-evo-plus-64-gb-microsdxc-class-10-95-mb-s-memory-card/p/itm466d58b7a666b,SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,₹639,4.3,"43,288","19,580","5,739","1,521","3,054",c736bb62-d361-5687-a3b5-70c9a6219f22
https://www.flipkart.com/zebronics-zeb-thunder-bluetooth-headset/p/itmfcfd68516d7da,ZEBRONICS ZEB-THUNDER Bluetooth Headset,₹771,4,"22,341","9,884","5,163","2,001","4,089",0c2ce5b7-0460-5917-bc3f-23ce28389b6a
